Location,Site,Circle,Transect,Species,,,,,,,,,,,
Outer,Ulong Rock,1,2,Anacropora spinosa,,,,,,,,,,,
Outer,Ulong Rock,1,2,Astreopora,,,,,,,,,,,
Outer,Ulong Rock,1,2,Echinopora,,,,,,,,,,,
Outer,Ulong Rock,1,2,Fungiidae,,,,,,,,,,,
Outer,Ulong Rock,1,2,Galaxea,,,,,,,,,,,
Outer,Ulong Rock,1,2,Goniastrea spp.,9,3,,,,,,,,,
Outer,Ulong Rock,1,2,Goniopora,,,,,,,,,,,
Outer,Ulong Rock,1,2,Isopora,,,,,,,,,,,
Outer,Ulong Rock,1,2,Isopora cf. brueggemanni,,,,,,,,,,,
Outer,Ulong Rock,1,2,Lobophyllia spp.,,,,,,,,,,,
Outer,Ulong Rock,1,2,Millepora,,,,,,,,,,,
Outer,Ulong Rock,1,2,Montipora,26,12,,,,,,,,,
Outer,Ulong Rock,1,2,Other Lobophyllidae,,,,,,,,,,,
Outer,Ulong Rock,1,2,Other Merulinidae,,,,,,,,,,,
Outer,Ulong Rock,1,2,Other Pocillopora,,,,,,,,,,,
Outer,Ulong Rock,1,2,Other Scleractinia,,,,,,,,,,,
Outer,Ulong Rock,1,2,Pocillopora cf. damicornis,5,11,,,,,,,,,
Outer,Ulong Rock,1,2,Pocillopora cf. verrucosa,23,13,,,,,,,,,
Outer,Ulong Rock,1,2,Porites cf. cylindrica,,,,,,,,,,,
Outer,Ulong Rock,1,2,Porites Massive,19,15,12,10,6,,,,,,
Outer,Ulong Rock,1,2,Porites cf. nigrescens,,,,,,,,,,,
Outer,Ulong Rock,1,2,Porites cf. rus,,,,,,,,,,,
Outer,Ulong Rock,1,2,Seriatopora,,,,,,,,,,,
Outer,Ulong Rock,1,2,Stylophora cf. pistillata,,,,,,,,,,,
Outer,Ulong Rock,1,3,Acanthastrea,,,,,,,,,,,
Outer,Ulong Rock,1,3,Acropora cf. subglabra,,,,,,,,,,,
Outer,Ulong Rock,1,3,Acropora cf. humilis,,,,,,,,,,,
Outer,Ulong Rock,1,3,Acropora cf. hyacinthus,,,,,,,,,,,
Outer,Ulong Rock,1,3,Acropora cf. muricata,,,,,,,,,,,
Outer,Ulong Rock,1,3,Acropora cf. tenuis,7,6,5,,,,,,,,
Outer,Ulong Rock,1,3,Agariciidae,,,,,,,,,,,
Outer,Ulong Rock,1,3,Anacropora spinosa,,,,,,,,,,,
Outer,Ulong Rock,1,3,Astreopora,,,,,,,,,,,
Outer,Ulong Rock,1,3,Echinopora,,,,,,,,,,,
Outer,Ulong Rock,1,3,Fungiidae,,,,,,,,,,,
Outer,Ulong Rock,1,3,Galaxea,,,,,,,,,,,
Outer,Ulong Rock,1,3,Goniastrea spp.,7,5,,,,,,,,,
Outer,Ulong Rock,1,3,Goniopora,,,,,,,,,,,
Outer,Ulong Rock,1,3,Isopora,,,,,,,,,,,
Outer,Ulong Rock,1,3,Isopora cf. brueggemanni,,,,,,,,,,,
Outer,Ulong Rock,1,3,Lobophyllia spp.,,,,,,,,,,,
Outer,Ulong Rock,1,3,Millepora,,,,,,,,,,,
Outer,Ulong Rock,1,3,Montipora,17,14,21,,,,,,,,
Outer,Ulong Rock,1,3,Other Lobophyllidae,,,,,,,,,,,
Outer,Ulong Rock,1,3,Other Merulinidae,,,,,,,,,,,
Outer,Ulong Rock,1,3,Other Pocillopora,,,,,,,,,,,
Outer,Ulong Rock,1,3,Other Scleractinia,,,,,,,,,,,
Outer,Ulong Rock,1,3,Pocillopora cf. damicornis,,,,,,,,,,,
Outer,Ulong Rock,1,3,Pocillopora cf. verrucosa,16,,,,,,,,,,
Outer,Ulong Rock,1,3,Porites cf. cylindrica,,,,,,,,,,,
Outer,Ulong Rock,1,3,Porites Massive,10,24,21,,,,,,,,
Outer,Ulong Rock,1,3,Porites cf. nigrescens,,,,,,,,,,,
Outer,Ulong Rock,1,3,Porites cf. rus,,,,,,,,,,,
Outer,Ulong Rock,1,3,Seriatopora,,,,,,,,,,,
Outer,Ulong Rock,1,3,Stylophora cf. pistillata,,,,,,,,,,,
Inner,Venture Lake,2,1,Acanthastrea,,,,,,,,,,,
Inner,Venture Lake,2,1,Acropora cf. subglabra,,,,,,,,,,,
Inner,Venture Lake,2,1,Acropora cf. humilis,,,,,,,,,,,
Inner,Venture Lake,2,1,Acropora cf. hyacinthus,,,,,,,,,,,
Inner,Venture Lake,2,1,Acropora cf. muricata,,,,,,,,,,,
Inner,Venture Lake,2,1,Acropora cf. tenuis,,,,,,,,,,,
Inner,Venture Lake,2,1,Agariciidae,,,,,,,,,,,
Inner,Venture Lake,2,1,Anacropora spinosa,,,,,,,,,,,
Inner,Venture Lake,2,1,Astreopora,,,,,,,,,,,
Inner,Venture Lake,2,1,Echinopora,,,,,,,,,,,
Inner,Venture Lake,2,1,Fungiidae,,,,,,,,,,,
Inner,Venture Lake,2,1,Galaxea,,,,,,,,,,,
Inner,Venture Lake,2,1,Goniastrea spp.,51,5,8,11,8,5,9,9,18,7,
Inner,Venture Lake,2,1,Goniopora,,,,,,,,,,,
Inner,Venture Lake,2,1,Isopora,,,,,,,,,,,
Inner,Venture Lake,2,1,Isopora cf. brueggemanni,,,,,,,,,,,
Inner,Venture Lake,2,1,Lobophyllia spp.,7,,,,,,,,,,
Inner,Venture Lake,2,1,Millepora,,,,,,,,,,,
Inner,Venture Lake,2,1,Montipora,16,,,,,,,,,,
Inner,Venture Lake,2,1,Other Lobophyllidae,,,,,,,,,,,
Inner,Venture Lake,2,1,Other Merulinidae,6,7,13,19,17,,,,,,
Inner,Venture Lake,2,1,Other Pocillopora,,,,,,,,,,,
Inner,Venture Lake,2,1,Other Scleractinia,,,,,,,,,,,
Inner,Venture Lake,2,1,Pocillopora cf. damicornis,,,,,,,,,,,
Inner,Venture Lake,2,1,Pocillopora cf. verrucosa,,,,,,,,,,,
Inner,Venture Lake,2,1,Porites cf. cylindrica,15,,,,,,,,,,
Inner,Venture Lake,2,1,Porites Massive,16,20,8,,,,,,,,
Inner,Venture Lake,2,1,Porites cf. nigrescens,,,,,,,,,,,
Inner,Venture Lake,2,1,Porites cf. rus,11,11,,,,,,,,,
Inner,Venture Lake,2,1,Seriatopora,,,,,,,,,,,
Inner,Venture Lake,2,1,Stylophora cf. pistillata,,,,,,,,,,,
Inner,Venture Lake,2,2,Acanthastrea,,,,,,,,,,,
Inner,Venture Lake,2,2,Acropora cf. subglabra,,,,,,,,,,,
Inner,Venture Lake,2,2,Acropora cf. humilis,,,,,,,,,,,
Inner,Venture Lake,2,2,Acropora cf. hyacinthus,,,,,,,,,,,
Inner,Venture Lake,2,2,Acropora cf. muricata,,,,,,,,,,,
Inner,Venture Lake,2,2,Acropora cf. tenuis,,,,,,,,,,,
Inner,Venture Lake,2,2,Agariciidae,,,,,,,,,,,
Inner,Venture Lake,2,2,Anacropora spinosa,,,,,,,,,,,
Inner,Venture Lake,2,2,Astreopora,,,,,,,,,,,
Inner,Venture Lake,2,2,Echinopora,,,,,,,,,,,
Inner,Venture Lake,2,2,Fungiidae,,,,,,,,,,,
Inner,Venture Lake,2,2,Galaxea,,,,,,,,,,,
Inner,Venture Lake,2,2,Goniastrea spp.,19,20,19,40,2,22,12,,,,
Inner,Venture Lake,2,2,Goniopora,,,,,,,,,,,
Inner,Venture Lake,2,2,Isopora,,,,,,,,,,,
Inner,Venture Lake,2,2,Isopora cf. brueggemanni,,,,,,,,,,,
Inner,Venture Lake,2,2,Lobophyllia spp.,13,10,25,,,,,,,,
Inner,Venture Lake,2,2,Millepora,,,,,,,,,,,
Inner,Venture Lake,2,2,Montipora,17,,,,,,,,,,
Inner,Venture Lake,2,2,Other Lobophyllidae,16,10,,,,,,,,,
Inner,Venture Lake,2,2,Other Merulinidae,6,21,7,13,17,9,,,,,
Inner,Venture Lake,2,2,Other Pocillopora,,,,,,,,,,,
Inner,Venture Lake,2,2,Other Scleractinia,,,,,,,,,,,
Inner,Venture Lake,2,2,Pocillopora cf. damicornis,,,,,,,,,,,
Inner,Venture Lake,2,2,Pocillopora cf. verrucosa,,,,,,,,,,,
Inner,Venture Lake,2,2,Porites cf. cylindrica,10,14,5,,,,,,,,
Inner,Venture Lake,2,2,Porites Massive,8,14,16,,,,,,,,
Inner,Venture Lake,2,2,Porites cf. nigrescens,,,,,,,,,,,
Inner,Venture Lake,2,2,Porites cf. rus,,,,,,,,,,,
Inner,Venture Lake,2,2,Seriatopora,,,,,,,,,,,
Inner,Venture Lake,2,2,Stylophora cf. pistillata,,,,,,,,,,,
Inner,Venture Lake,2,3,Acanthastrea,,,,,,,,,,,
Inner,Venture Lake,2,3,Acropora cf. subglabra,,,,,,,,,,,
Inner,Venture Lake,2,3,Acropora cf. humilis,,,,,,,,,,,
Inner,Venture Lake,2,3,Acropora cf. hyacinthus,,,,,,,,,,,
Inner,Venture Lake,2,3,Acropora cf. muricata,,,,,,,,,,,
Inner,Venture Lake,2,3,Acropora cf. tenuis,,,,,,,,,,,
Inner,Venture Lake,2,3,Agariciidae,,,,,,,,,,,
Inner,Venture Lake,2,3,Anacropora spinosa,,,,,,,,,,,
Inner,Venture Lake,2,3,Astreopora,,,,,,,,,,,
Inner,Venture Lake,2,3,Echinopora,,,,,,,,,,,
Inner,Venture Lake,2,3,Fungiidae,13,,,,,,,,,,
Inner,Venture Lake,2,3,Galaxea,,,,,,,,,,,
Inner,Venture Lake,2,3,Goniastrea spp.,32,13,12,,,,,,,,
Inner,Venture Lake,2,3,Goniopora,,,,,,,,,,,
Inner,Venture Lake,2,3,Isopora,,,,,,,,,,,
Inner,Venture Lake,2,3,Isopora cf. brueggemanni,,,,,,,,,,,
Inner,Venture Lake,2,3,Lobophyllia spp.,23,14,,,,,,,,,
Inner,Venture Lake,2,3,Millepora,,,,,,,,,,,
Inner,Venture Lake,2,3,Montipora,,,,,,,,,,,
Inner,Venture Lake,2,3,Other Lobophyllidae,,,,,,,,,,,
Inner,Venture Lake,2,3,Other Merulinidae,24,,,,,,,,,,
Inner,Venture Lake,2,3,Other Pocillopora,,,,,,,,,,,
Inner,Venture Lake,2,3,Other Scleractinia,,,,,,,,,,,
Inner,Venture Lake,2,3,Pocillopora cf. damicornis,,,,,,,,,,,
Inner,Venture Lake,2,3,Pocillopora cf. verrucosa,,,,,,,,,,,
Inner,Venture Lake,2,3,Porites cf. cylindrica,24,,,,,,,,,,
Inner,Venture Lake,2,3,Porites Massive,25,5,5,9,,,,,,,
Inner,Venture Lake,2,3,Porites cf. nigrescens,,,,,,,,,,,
Inner,Venture Lake,2,3,Porites cf. rus,35,25,34,18,6,5,8,6,,,
Inner,Venture Lake,2,3,Seriatopora,,,,,,,,,,,
Inner,Venture Lake,2,3,Stylophora cf. pistillata,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Acanthastrea,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Acropora cf. subglabra,27,,,,,,,,,,
Inner,Venture Lake outside,3,1,Acropora cf. humilis,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Acropora cf. hyacinthus,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Acropora cf. muricata,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Acropora cf. tenuis,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Agariciidae,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Anacropora spinosa,16,7,20,49,,,,,,,
Inner,Venture Lake outside,3,1,Astreopora,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Echinopora,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Fungiidae,15,,,,,,,,,,
Inner,Venture Lake outside,3,1,Galaxea,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Goniastrea spp.,26,22,14,,,,,,,,
Inner,Venture Lake outside,3,1,Goniopora,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Isopora,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Isopora cf. brueggemanni,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Lobophyllia spp.,54,10,,,,,,,,,
Inner,Venture Lake outside,3,1,Millepora,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Montipora,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Other Lobophyllidae,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Other Merulinidae,8,16,,,,,,,,,
Inner,Venture Lake outside,3,1,Other Pocillopora,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Other Scleractinia,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Pocillopora cf. damicornis,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Pocillopora cf. verrucosa,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Porites cf. cylindrica,24,33,,,,,,,,,
Inner,Venture Lake outside,3,1,Porites Massive,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Porites cf. nigrescens,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Porites cf. rus,8,52,54,32,,,,,,,
Inner,Venture Lake outside,3,1,Seriatopora,,,,,,,,,,,
Inner,Venture Lake outside,3,1,Stylophora cf. pistillata,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Acanthastrea,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Acropora cf. subglabra,15,6,,,,,,,,,
Inner,Venture Lake outside,3,2,Acropora cf. humilis,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Acropora cf. hyacinthus,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Acropora cf. muricata,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Acropora cf. tenuis,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Agariciidae,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Anacropora spinosa,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Astreopora,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Echinopora,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Fungiidae,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Galaxea,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Goniastrea spp.,16,,,,,,,,,,
Inner,Venture Lake outside,3,2,Goniopora,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Isopora,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Isopora cf. brueggemanni,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Lobophyllia spp.,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Millepora,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Montipora,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Other Lobophyllidae,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Other Merulinidae,39,,,,,,,,,,
Inner,Venture Lake outside,3,2,Other Pocillopora,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Other Scleractinia,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Pocillopora cf. damicornis,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Pocillopora cf. verrucosa,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Porites cf. cylindrica,23,11,46,33,24,27,,,,,
Inner,Venture Lake outside,3,2,Porites Massive,21,10,,,,,,,,,
Inner,Venture Lake outside,3,2,Porites cf. nigrescens,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Porites cf. rus,39,19,30,11,32,,,,,,
Inner,Venture Lake outside,3,2,Seriatopora,,,,,,,,,,,
Inner,Venture Lake outside,3,2,Stylophora cf. pistillata,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Acanthastrea,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Acropora cf. subglabra,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Acropora cf. humilis,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Acropora cf. hyacinthus,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Acropora cf. muricata,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Acropora cf. tenuis,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Agariciidae,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Anacropora spinosa,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Astreopora,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Echinopora,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Fungiidae,13,14,,,,,,,,,
Inner,Venture Lake outside,3,3,Galaxea,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Goniastrea spp.,24,16,,,,,,,,,
Inner,Venture Lake outside,3,3,Goniopora,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Isopora,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Isopora cf. brueggemanni,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Lobophyllia spp.,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Millepora,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Montipora,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Other Lobophyllidae,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Other Merulinidae,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Other Pocillopora,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Other Scleractinia,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Pocillopora cf. damicornis,10,,,,,,,,,,
Inner,Venture Lake outside,3,3,Pocillopora cf. verrucosa,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Porites cf. cylindrica,71,18,13,14,,,,,,,
Inner,Venture Lake outside,3,3,Porites Massive,64,,,,,,,,,,
Inner,Venture Lake outside,3,3,Porites cf. nigrescens,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Porites cf. rus,131,28,42,,,,,,,,
Inner,Venture Lake outside,3,3,Seriatopora,,,,,,,,,,,
Inner,Venture Lake outside,3,3,Stylophora cf. pistillata,,,,,,,,,,,