"","Tray","Sample","ID","Dye","Vol_ml","well","1","2","3","n","meanOD","m","b","r","Tray","Protein","well","Protein_b","rsq_b","Protein_mgml"
"H33",12,27,"s1b_lobo_3","NEW_660",5,"12.27",0.316,0.2654,0.2947,27,0.292033333333333,0.76,0.061,0.999,"12",0.303991228070175,"12.27",0.303118049435562,0.999,0.303554638752869
"F8",13,1,"s2_brug_3","NEW_660",5,"13.1",0.3863,0.3498,0.3237,1,0.353266666666667,0.7051,0.069,0.999,"13",0.403157944499598,"13.1",0.402816527168859,1,0.402987235834228
"G8",13,2,"s2_hya_4","NEW_660",5,"13.2",0.5803,0.5795,0.6526,2,0.604133333333333,0.7051,0.069,0.999,"13",0.758946721505224,"13.2",0.763163721712945,1,0.761055221609084
"H8",13,3,"s2_hya_2","NEW_660",5,"13.3",0.4819,0.5236,0.4845,3,0.496666666666667,0.7051,0.069,0.999,"13",0.606533352243181,"13.3",0.610734688454896,1,0.608634020349038
"A15",13,4,"s1b_lobo_5","NEW_660",5,"13.4",0.7655,0.6785,0.8132,4,0.7524,0.7051,0.069,0.999,"13",0.969224223514395,"13.4",1.0803330233382,1,1.0247786234263
"B15",13,5,"s1_poc_3","NEW_660",5,"13.5",0.3942,0.4087,0.3913,5,0.398066666666667,0.7051,0.069,0.999,"13",0.466695031437621,"13.5",0.469332624773039,1,0.46801382810533
"C15",13,6,"s1_goni_1","NEW_660",2.5,"13.6",1.4801,0.356,0.9605,6,0.9322,0.7051,0.069,0.999,"13",1.22422351439512,"13.6",1.20202825384173,1,1.21312588411842
"D15",13,7,"s6_goni_1","NEW_660",5,"13.7",0.2676,0.3005,0.2934,7,0.287166666666667,0.7051,0.069,0.999,"13",0.30941237649506,"13.7",0.301138124972322,1,0.305275250733691
"E15",13,8,"s6_goni_2","NEW_660",5,"13.8",0.3326,0.3238,0.3507,8,0.3357,0.7051,0.069,0.999,"13",0.378244220677918,"13.8",0.363181435720296,1,0.370712828199107
"F15",13,9,"s2_pver_1","NEW_660",5,"13.9",0.5998,0.6141,0.5971,9,0.603666666666667,0.7051,0.069,0.999,"13",0.758284876849619,"13.9",0.755236703423232,1,0.756760790136426
"G15",13,10,"s1_goni_3","NEW_660",5,"13.10",0.7412,0.7293,0.6963,10,0.722266666666667,0.7051,0.069,0.999,"13",0.926487968609654,"13.10",0.975023249634649,1,0.950755609122151
"H15",13,11,"s2_hya_1","NEW_660",5,"13.11",0.3529,0.3379,0.2994,11,0.330066666666667,0.7051,0.069,0.999,"13",0.370254810192408,"13.11",0.367919932686772,1,0.36908737143959
"A25",13,12,"s6_goni_3","NEW_660",5,"13.12",0.2235,0.2369,0.2295,12,0.229966666666667,0.7051,0.069,0.999,"13",0.228289131565263,"13.12",0.229174970107613,1,0.228732050836438
"B25",13,13,"s6_hya_2","NEW_660",5,"13.13",0.4552,0.4046,0.0802,13,0.313333333333333,0.7051,0.069,0.999,"13",0.346522951827164,"13.13",0.333643328461981,1,0.340083140144573
"C25",13,14,"s6_hya_4","NEW_660",5,"13.14",0.3025,0.3042,0.2758,14,0.294166666666667,0.7051,0.069,0.999,"13",0.319340046329126,"13.14",0.313095079934458,1,0.316217563131792
"D25",13,15,"s1_goni_2","NEW_660",5,"13.15",0.7959,0.6926,0.7865,15,0.758333333333333,0.7051,0.069,0.999,"13",0.977639105564223,"13.15",0.96519197555467,1,0.971415540559446
"E25",13,16,"s1b_brug_1","NEW_660",5,"13.16",0.2207,0.2134,0.2101,16,0.214733333333333,0.7051,0.069,0.999,"13",0.206684631021605,"13.16",0.199105442628759,1,0.202895036825182
"F25",13,17,"s6_hya_1","NEW_660",5,"13.17",0.3779,0.4123,0.3651,17,0.3851,0.7051,0.069,0.999,"13",0.44830520493547,"13.17",0.443293033966609,1,0.44579911945104
"G25",13,18,"s6_hum_2","NEW_660",5,"13.18",0.6947,0.7924,0.6652,18,0.717433333333333,0.7051,0.069,0.999,"13",0.919633148962322,"13.18",0.88472609716133,1,0.902179623061826
"H25",13,19,"s4a_goni_2","NEW_660",4,"13.19",0.4329,0.5355,0.3606,19,0.443,0.7051,0.069,0.999,"13",0.530421216848674,"13.19",0.501439263097294,1,0.515930239972984
"A35",13,20,"s6_hya_3","NEW_660",5,"13.20",0.3377,0.3366,0.3071,20,0.327133333333333,0.7051,0.069,0.999,"13",0.366094643785751,"13.20",0.354855852265179,1,0.360475248025465
"B35",13,21,"s1_pcyl_5","NEW_660",5,"13.21",0.4356,0.2714,0.277,21,0.328,0.7051,0.069,0.999,"13",0.367323783860445,"13.21",0.352464461272751,1,0.359894122566598
"C35",13,22,"s1b_goni_1","NEW_660",5,"13.22",0.3672,0.2572,0.5156,22,0.38,0.7051,0.069,0.999,"13",0.441072188342079,"13.22",0.419334839023958,1,0.430203513683019
"D35",13,23,"s1b_lobo_4","NEW_660",5,"13.23",0.6303,0.4944,0.7395,23,0.6214,0.7051,0.069,0.999,"13",0.783434973762587,"13.23",0.792746113989637,1,0.788090543876112
"E35",13,24,"s1_pcyl_2","NEW_660",5,"13.24",0.181,0.1792,0.1372,24,0.1658,0.7051,0.069,0.999,"13",0.137285491419657,"13.24",0.137416412027811,1,0.137350951723734
"F35",13,25,"s6_pdam_1","NEW_660",5,"13.25",0.7794,0.891,0.8268,25,0.8324,0.7051,0.069,0.999,"13",1.08268330733229,"13.25",1.06833178335769,1,1.07550754534499
"G35",13,26,"s1b_pdam_1","NEW_660",5,"13.26",0.3622,0.3823,0.3475,26,0.364,0.7051,0.069,0.999,"13",0.418380371578499,"13.26",0.402240821929941,1,0.41031059675422
"H35",13,27,"s6_hum_1","NEW_660",5,"13.27",0.4547,0.4583,0.395,27,0.436,0.7051,0.069,0.999,"13",0.520493547014608,"13.27",0.508524866037819,1,0.514509206526214
"F10",14,1,"s1_brug_1","NEW_660",5,"14.1",0.2451,0.243,0.2514,1,0.2465,0.6477,0.053,0.996,"14",0.298749421028254,"14.1",0.303131145061261,0.997,0.300940283044758
"G10",14,2,"s1b_goni_2","NEW_660",5,"14.2",0.2845,0.3421,0.3078,2,0.311466666666667,0.6477,0.053,0.996,"14",0.399053059544028,"14.2",0.401552967276761,0.997,0.400303013410394
"H10",14,3,"s5_prus_4","NEW_660",5,"14.3",0.2002,0.2132,0.2486,3,0.220666666666667,0.6477,0.053,0.996,"14",0.258864700735937,"14.3",0.267130540009076,0.997,0.262997620372507
"A17",14,4,"s1_prus_1","NEW_660",5,"14.4",0.2961,0.3646,0.384,4,0.348233333333333,0.6477,0.053,0.996,"14",0.455818022747157,"14.4",0.474159229566883,0.997,0.46498862615702
"B17",14,5,"s1_prus_2","NEW_660",5,"14.5",0.2896,0.2991,0.2409,5,0.276533333333333,0.6477,0.053,0.996,"14",0.345118624877773,"14.5",0.353400897494076,0.997,0.349259761185924
"C17",14,6,"s5_prus_3","NEW_660",5,"14.6",0.23,0.2442,0.2492,6,0.241133333333333,0.6477,0.053,0.996,"14",0.290463692038495,"14.6",0.287903998386527,0.997,0.289183845212511
"D17",14,7,"s3_prus_1","NEW_660",5,"14.7",0.2277,0.2309,0.2225,7,0.227033333333333,0.6477,0.053,0.996,"14",0.268694354382173,"14.7",0.280845056219432,0.997,0.274769705300803
"E17",14,8,"s4a_pdam_4","NEW_660",5,"14.8",0.3741,0.3681,0.335,8,0.359066666666667,0.6477,0.053,0.996,"14",0.472543873192321,"14.8",0.479705541269601,0.997,0.476124707230961
"F17",14,9,"s4a_pcyl_3","NEW_660",5,"14.9",0.2307,0.2001,0.2322,9,0.221,0.6477,0.053,0.996,"14",0.259379342288096,"14.9",0.265617909544698,0.997,0.262498625916397
"G17",14,10,"s4b_prus_4","NEW_660",5,"14.10",0.1501,0.1644,0.1536,10,0.156033333333333,0.6477,0.053,0.996,"14",0.159075703772323,"14.10",0.159784198053749,0.997,0.159429950913036
"H17",14,11,"s3_prus_3","NEW_660",5,"14.11",0.2613,0.2404,0.2643,11,0.255333333333333,0.6477,0.053,0.996,"14",0.312387422160465,"14.11",0.327081127413906,0.997,0.319734274787186
"A27",14,12,"s4b_prus_1","NEW_660",5,"14.12",0.2295,0.2519,0.2453,12,0.242233333333333,0.6477,0.053,0.996,"14",0.29216200916062,"14.12",0.302879039983865,0.997,0.297520524572242
"B27",14,13,"s4a_brug_3","NEW_660",5,"14.13",0.2702,0.2528,0.2514,13,0.258133333333333,0.6477,0.053,0.996,"14",0.3167104111986,"14.13",0.329148389048555,0.997,0.322929400123578
"C27",14,14,"s4b_card_2","NEW_660",5,"14.14",0.2428,0.2441,0.2305,14,0.239133333333333,0.6477,0.053,0.996,"14",0.287375842725542,"14.14",0.298441990621691,0.997,0.292908916673616
"D27",14,15,"s4a_anac_2","NEW_660",5,"14.15",0.1457,0.1906,0.1577,15,0.164666666666667,0.6477,0.053,0.996,"14",0.172404919973239,"14.15",0.172944083093834,0.997,0.172674501533536
"E27",14,16,"s4a_card_2","NEW_660",5,"14.16",0.5454,0.5115,0.5825,16,0.546466666666667,0.6477,0.053,0.996,"14",0.761875353816067,"14.16",0.776987848535269,0.997,0.769431601175668
"F27",14,17,"s4a_pdam_2","NEW_660",5,"14.17",0.4229,0.4231,0.459,17,0.435,0.6477,0.053,0.996,"14",0.589779218774124,"14.17",0.595623455856401,0.997,0.592701337315262
"G27",14,18,"s2_prus_1","NEW_660",4,"14.18",0.3437,0.5472,0.3666,18,0.419166666666667,0.6477,0.053,0.996,"14",0.565333745046575,"14.18",0.55190843543589,0.997,0.558621090241232
"H27",14,19,"s2_stag_3","NEW_660",5,"14.19",0.3395,0.3525,0.0767,19,0.256233333333333,0.6477,0.053,0.996,"14",0.313776954351294,"14.19",0.334745121766752,0.997,0.324261038059023
"A37",14,20,"s2_hya_3","NEW_660",5,"14.20",0.3553,0.4254,0.4594,20,0.413366666666667,0.6477,0.053,0.996,"14",0.55637898203901,"14.20",0.551051278172742,0.997,0.553715130105876
"B37",14,21,"s4a_brug_1","NEW_660",5,"14.21",0.2573,0.2058,0.2016,21,0.221566666666667,0.6477,0.053,0.996,"14",0.260254232926766,"14.21",0.26753390813291,0.997,0.263894070529838
"C37",14,22,"s3_stag_1","NEW_660",5,"14.22",0.2995,0.2983,0.2553,22,0.284366666666667,0.6477,0.053,0.996,"14",0.357212701353507,"14.22",0.37130035798921,0.997,0.364256529671359
"D37",14,23,"s3_ten_4","NEW_660",5,"14.23",0.163,0.1735,0.1704,23,0.168966666666667,0.6477,0.053,0.996,"14",0.179043795996089,"14.23",0.182826602127767,0.997,0.180935199061928
"E37",14,24,"s3_card_4","NEW_660",5,"14.24",0.4279,0.4378,0.4448,24,0.436833333333333,0.6477,0.053,0.996,"14",0.592609747310998,"14.24",0.613472495336056,0.997,0.603041121323527
"F37",14,25,"s3_pcyl_1","NEW_660",5,"14.25",0.378,0.3686,0.3793,25,0.3753,0.6477,0.053,0.996,"14",0.497606916782461,"14.25",0.526395401603388,0.997,0.512001159192925
"G37",14,26,"s3_brug_1","NEW_660",5,"14.26",0.2351,0.2222,0.2337,26,0.230333333333333,0.6477,0.053,0.996,"14",0.273789305748546,"14.26",0.286693894015025,0.997,0.280241599881786
"H37",14,27,"s3_ten_2","NEW_660",5,"14.27",0.4392,0.2671,0.257,27,0.3211,0.6477,0.053,0.996,"14",0.41392620040142,"14.27",0.432965259920335,0.997,0.423445730160878
"F20",15,1,"s4a_prus_3","NEW_660",5,"15.1",0.2944,0.2518,0.2514,1,0.265866666666667,0.6267,0.073,0.994,"15",0.307749587787884,"15.1",0.307957625030796,0.99,0.30785360640934
"G20",15,2,"s3_stag_3","NEW_660",5,"15.2",0.4906,0.5007,0.5466,2,0.512633333333333,0.6267,0.073,0.994,"15",0.701505239083027,"15.2",0.679231337767923,0.99,0.690368288425475
"H20",15,3,"s3_card_3","NEW_660",5,"15.3",1.0045,1.0113,0.9145,3,0.976766666666667,0.6267,0.073,0.994,"15",1.44210414339663,"15.3",1.45508745996551,0.99,1.44859580168107
"A19",15,4,"s2_brug_2","NEW_660",5,"15.4",0.2864,0.4175,0.0773,4,0.2604,0.6267,0.073,0.994,"15",0.299026647518749,"15.4",0.302636117270264,0.99,0.300831382394506
"B19",15,5,"s2_pver_2","NEW_660",5,"15.5",0.5716,0.5035,0.5668,5,0.5473,0.6267,0.073,0.994,"15",0.756821445667784,"15.5",0.748164572554816,0.99,0.7524930091113
"C19",15,6,"s4b_prus_3","NEW_660",5,"15.6",0.2019,0.1856,0.1767,6,0.188066666666667,0.6267,0.073,0.994,"15",0.183607254933248,"15.6",0.192017738359202,0.99,0.187812496646225
"D19",15,7,"s1_prus_3","NEW_660",5,"15.7",0.1852,0.18,0.1724,7,0.1792,0.6267,0.073,0.994,"15",0.169459071325993,"15.7",0.180734170978073,0.99,0.175096621152033
"E19",15,8,"s1_prus_5","NEW_660",5,"15.8",0.2625,0.2971,0.292,8,0.283866666666667,0.6267,0.073,0.994,"15",0.336471464283815,"15.8",0.336634639073663,0.99,0.336553051678739
"F110",15,9,"s4b_goni_2","NEW_660",5,"15.9",0.7844,0.3654,0.1469,9,0.432233333333333,0.6267,0.073,0.994,"15",0.573214190734535,"15.9",0.595614683419561,0.99,0.584414437077048
"G110",15,10,"s4a_pdam_1","NEW_660",5,"15.10",0.476,0.5172,0.4445,10,0.479233333333333,0.6267,0.073,0.994,"15",0.648210201585022,"15.10",0.650357230845036,0.99,0.649283716215029
"H110",15,11,"s7_prus_1","NEW_660",5,"15.11",0.1596,0.1458,0.1465,11,0.150633333333333,0.6267,0.073,0.994,"15",0.123876389553747,"15.11",0.137817196353782,0.99,0.130846792953764
"A29",15,12,"s2_stag_1","NEW_660",5,"15.12",0.5115,0.5008,0.5254,12,0.512566666666667,0.6267,0.073,0.994,"15",0.701398861762672,"15.12",0.693175659029318,0.99,0.697287260395995
"B29",15,13,"s2_ten_3","NEW_660",5,"15.13",0.9257,0.8775,0.9256,13,0.9096,0.6267,0.073,0.994,"15",1.33492899313866,"15.13",1.34924858339493,0.99,1.34208878826679
"C29",15,14,"s2_stag_4","NEW_660",5,"15.14",0.7796,0.8167,0.8058,14,0.8007,0.6267,0.073,0.994,"15",1.16116164033828,"15.14",1.14688346883469,0.99,1.15402255458648
"D29",15,15,"s3_hya_2","NEW_660",5,"15.15",0.18,0.1862,0.1605,15,0.175566666666667,0.6267,0.073,0.994,"15",0.163661507366629,"15.15",0.172751909337275,0.99,0.168206708351952
"E29",15,16,"s5_prus_1","NEW_660",5,"15.16",0.2578,0.2383,0.3208,16,0.2723,0.6267,0.073,0.994,"15",0.31801499920217,"15.16",0.308154717910815,0.99,0.313084858556493
"F29",15,17,"s4a_card_1","NEW_660",5,"15.17",0.3879,0.3917,0.409,17,0.3962,0.6267,0.073,0.994,"15",0.515717249082496,"15.17",0.513870411431387,0.99,0.514793830256941
"G29",15,18,"s2_card_1","NEW_660",5,"15.18",0.6022,0.6711,0.6405,18,0.637933333333333,0.6267,0.073,0.994,"15",0.901441412690814,"15.18",0.863217541266322,0.99,0.882329476978568
"H29",15,19,"s7_prus_1","NEW_660",5,"15.19",0.1948,0.2046,0.1947,19,0.198033333333333,0.6267,0.073,0.994,"15",0.199510664326366,"15.19",0.207588075880759,0.99,0.203549370103562
"A39",15,20,"s4a_anac_1","NEW_660",5,"15.20",0.1649,0.1677,0.2025,20,0.178366666666667,0.6267,0.073,0.994,"15",0.168129354821552,"15.20",0.175806848977581,0.99,0.171968101899566
"B39",15,21,"s4a_pcyl_2","NEW_660",5,"15.21",0.1696,0.173,0.183,21,0.1752,0.6267,0.073,0.994,"15",0.163076432104675,"15.21",0.168169499876817,0.99,0.165622965990746
"C39",15,22,"s4b_pcyl_4","NEW_660",5,"15.22",0.2572,0.2386,0.2734,22,0.2564,0.6267,0.073,0.994,"15",0.292644008297431,"15.22",0.294653855629465,0.99,0.293648931963448
"D39",15,23,"s4b_lobo_2","NEW_660",5,"15.23",0.7805,0.8234,0.8391,23,0.814333333333333,0.6267,0.073,0.994,"15",1.18291580235094,"15.23",1.12988420793299,0.99,1.15640000514196
"E39",15,24,"s4a_card_3","NEW_660",5,"15.24",0.523,0.5299,0.5583,24,0.537066666666667,0.6267,0.073,0.994,"15",0.740492526993245,"15.24",0.746587829514659,0.99,0.743540178253952
"F39",15,25,"s4b_card_1","NEW_660",5,"15.25",0.766,0.7905,0.7878,25,0.781433333333333,0.6267,0.073,0.994,"15",1.1304185947556,"15.25",1.10574033013057,0.99,1.11807946244309
"G39",15,26,"s4b_lobo_1","NEW_660",5,"15.26",0.7958,0.8765,0.8638,26,0.845366666666667,0.6267,0.073,0.994,"15",1.23243444497633,"15.26",1.210002463661,0.99,1.22121845431867
"H39",15,27,"s2_ten_1","NEW_660",5,"15.27",0.5365,0.5618,0.6041,27,0.567466666666667,0.6267,0.073,0.994,"15",0.789000585075262,"15.27",0.783050012318305,0.99,0.786025298696784
"C",16,1,"s4b_goni_1","NEW_660",5,"16.1",0.3638,0.4115,0.4185,1,0.397933333333333,0.74,0.139,0.985,"16_flip",0.34990990990991,"16.1",0.379253472222222,0.987,0.364581691066066
"B",16,2,"s4a_pcyl_1","NEW_660",4,"16.2",0.246,0.2576,0.4495,2,0.3177,0.74,0.139,0.985,"16_flip",0.241486486486486,"16.2",0.246831597222222,0.987,0.244159041854354
"A",16,3,"s4a_pdam_3","NEW_660",5,"16.3",0.4937,0.4576,0.6309,3,0.5274,0.74,0.139,0.985,"16_flip",0.524864864864865,"16.3",0.556553819444444,0.987,0.540709342154655
"E111",16,7,"s4a_goni_1","NEW_660",5,"16.7",0.2673,0.2703,0.2682,7,0.2686,0.74,0.139,0.985,"16_flip",0.175135135135135,"16.7",0.193012152777778,0.987,0.184073643956456
"D111",16,8,"s4b_pcyl_1","NEW_660",5,"16.8",0.1934,0.1899,0.1842,8,0.189166666666667,0.74,0.139,0.985,"16_flip",0.0677927927927928,"16.8",0.0807725694444444,0.987,0.0742826811186186
"C111",16,9,"s4b_pcyl_2","NEW_660",5,"16.9",0.1674,0.149,0.1637,9,0.160033333333333,0.74,0.139,0.985,"16_flip",0.0284234234234234,"16.9",0.0493055555555555,0.987,0.0388644894894895
"B111",16,10,"s4b_pcyl_3","NEW_660",5,"16.10",0.2143,0.2313,0.225,10,0.223533333333333,0.74,0.139,0.985,"16_flip",0.114234234234234,"16.10",0.137022569444444,0.987,0.125628401839339
"A111",16,11,"s4a_brug_2","NEW_660",5,"16.11",0.6799,0.2579,0.24,11,0.3926,0.74,0.139,0.985,"16_flip",0.342702702702703,"16.11",0.332638888888889,0.987,0.337670795795796
