Tray,Sample,ID,Dye,Vol_ml
1,1,s4b_lobo_2,OLD_660,5
1,2,s4b_pcyl_4,OLD_660,5
1,3,s4a_pcyl_1,OLD_660,4
1,4,s4b_lobo_1,OLD_660,5
1,5,s4b_card_1,OLD_660,5
1,6,s4a_card_3,OLD_660,5
1,7,s4a_pcyl_2,OLD_660,5
1,8,s4a_anac_1,OLD_660,5
2,1,s4a_pdam_3,OLD_660,5
2,2,s4a_brug_2,OLD_660,5
2,3,s4a_goni_1,OLD_660,5
2,4,s4b_pcyl_1,OLD_660,5
2,5,s4b_pcyl_2,OLD_660,5
2,6,s4b_goni_1,OLD_660,5
2,7,s4b_pcyl_3,OLD_660,5
3,1,s2_brug_2,OLD_660,5
3,2,s2_card_1,OLD_660,5
3,3,s2_pver_2,OLD_660,5
3,4,s2_ten_1,OLD_660,5
3,5,s2_stag_4,OLD_660,5
3,6,s2_ten_3,OLD_660,5
3,7,s2_stag_1,OLD_660,5
4,1,s4b_prus_3,OLD_660,5
4,2,s5_prus_1,OLD_660,5
4,3,s7_prus_1,OLD_660,5
4,4,s4a_pdam_1,OLD_660,5
4,5,s3_hya_2,OLD_660,5
4,6,s1_prus_5,OLD_660,5
4,7,s4b_goni_2,OLD_660,5
4,8,s4a_prus_3,OLD_660,5
4,9,s4a_card_1,OLD_660,5
4,10,s1_prus_3,OLD_660,5
4,11,s7_prus_1,OLD_660,5
5,1,s5_prus_4,OLD_660,5
5,2,s1_prus_1,OLD_660,5
5,3,s1_prus_2,OLD_660,5
5,4,s5_prus_3,OLD_660,5
5,5,s3_prus_1,OLD_660,5
5,6,s4b_prus_1,OLD_660,5
5,7,s3_prus_3,OLD_660,5
5,8,s4b_prus_4,OLD_660,5
5,9,s4a_pcyl_3,OLD_660,5
5,10,s4a_pdam_4,OLD_660,5
5,11,s4a_brug_3,OLD_660,5
5,12,s4b_card_2,OLD_660,5
5,13,s4a_anac_2,OLD_660,5
5,14,s4a_card_2,OLD_660,5
5,15,s4a_pdam_2,OLD_660,5
5,16,s4a_brug_1,OLD_660,5
5,17,s3_stag_1,OLD_660,5
5,18,s2_hya_3,OLD_660,5
5,19,s2_stag_3,OLD_660,5
5,20,s2_prus_1,OLD_660,4
5,21,s3_ten_4,OLD_660,5
5,22,s3_card_4,OLD_660,5
5,23,s3_pcyl_1,OLD_660,5
5,24,s3_brug_1,OLD_660,5
5,25,s3_ten_2,OLD_660,5
5,26,s3_card_3,OLD_660,5
5,27,s3_stag_3,OLD_660,5
6,1,s3_brug_4,OLD_660,5
6,2,s3_brug_2,OLD_660,5
6,3,s3_card_1,OLD_660,5
6,4,s3_brug_3,OLD_660,4
6,5,s3_ten_1,OLD_660,5
6,6,s3_stag_2,OLD_660,5
6,7,s3_pdam_1,OLD_660,5
6,8,s3_pdam_2,OLD_660,5
6,9,s3_pdam_3,OLD_660,5
6,10,s3_ten_3,OLD_660,5
6,11,s3_pcyl_4,OLD_660,5
6,12,s3_pcyl_3,OLD_660,5
6,13,s3_pcyl_2,OLD_660,5
6,14,s3_card_2,OLD_660,5
6,15,s3_hya_3,OLD_660,5
7,1,s2_prus_3,OLD_660,5
7,2,s3_hya_1,OLD_660,5
7,3,s2_ten_2,OLD_660,5
7,4,s2_pdam_1,OLD_660,5
7,5,s2_pdam_3,OLD_660,5
7,6,s2_prus_2,OLD_660,3
7,7,s2_pcyl_3,OLD_660,5
7,8,s2_stag_2,OLD_660,5
7,9,s2_pdam_2,OLD_660,5
7,10,s2_brug_1,OLD_660,5
7,11,s2_brug_3,OLD_660,5
7,12,s2_pver_1,OLD_660,5
7,13,s2_hya_4,OLD_660,5
7,14,s2_hya_2,OLD_660,5
7,15,s2_hya_1,OLD_660,5
8,1,s1_goni_3,OLD_660,5
8,2,s1_goni_1,OLD_660,2.5
8,3,s6_goni_1,OLD_660,5
8,4,s4a_goni_2,OLD_660,4
8,5,s1_goni_2,OLD_660,5
8,6,s6_hya_3,OLD_660,5
8,7,s1b_pdam_1,OLD_660,5
8,8,s1b_brug_1,OLD_660,5
8,9,s6_goni_2,OLD_660,5
8,10,s6_hum_2,OLD_660,5
8,11,s6_hya_2,OLD_660,5
8,12,s6_hum_1,OLD_660,5
8,13,s6_pdam_2,OLD_660,5
8,14,s6_hya_4,OLD_660,5
8,15,s6_hya_1,OLD_660,5
8,16,s6_goni_3,OLD_660,5
8,17,s1b_lobo_1,OLD_660,5
8,18,s1b_lobo_3,OLD_660,5
8,19,s1b_goni_2,OLD_660,5
8,20,s1_poc_3,OLD_660,5
8,21,s1b_goni_1,OLD_660,5
8,22,s6_pdam_1,OLD_660,5
8,23,s1b_lobo_4,OLD_660,5
8,24,s1b_lobo_5,OLD_660,5
8,25,s1_brug_1,OLD_660,5
8,26,s1_pcyl_5,OLD_660,5
8,27,s1_pcyl_2,OLD_660,5
9,1,s1_anac_2,NEW_660,5
9,2,s1_lobo_1,NEW_660,5
9,3,s1_anac_1,NEW_660,5
9,4,s1_pcyl_3,NEW_660,5
9,5,s1_pcyl_4,NEW_660,5
9,6,s1_poc_2,NEW_660,5
9,7,s1_acrop_3,NEW_660,5
9,8,s1_brug_3,NEW_660,5
9,9,s1_poc_1,NEW_660,5
9,10,s1_pcyl_1,NEW_660,5
9,11,s1_brug_2,NEW_660,5
9,12,s1_stag_1,NEW_660,5
9,13,s5_stag_1,NEW_660,5
9,14,s5_pdam_3,NEW_660,5
9,15,s7_pver_1,NEW_660,5
9,16,s7_pver_2,NEW_660,5
9,17,s5_pdam_1,NEW_660,5
9,18,s5_card_2,NEW_660,5
9,19,s7_styl_2,NEW_660,5
9,20,s7_styl_1,NEW_660,5
9,21,s5_card_3,NEW_660,5
9,22,s5_pdam_2,NEW_660,5
9,23,s5_card_1,NEW_660,5
9,24,s5_pdam_4,NEW_660,5
9,25,s7_pnig_1,NEW_660,5
9,26,s7_pcyl_1,NEW_660,5
9,27,s7_pdam_3,NEW_660,5
10,1,s7_pdam_1,NEW_660,5
10,2,s7_pdam_2,NEW_660,5
10,3,s5_pcyl_5,NEW_660,5
10,4,s5_pcyl_3,NEW_660,5
10,5,s5_pcyl_1,NEW_660,5
10,6,s7_pnig_2,NEW_660,5
10,7,s5_pcyl_4,NEW_660,5
10,8,s5_stag_3,NEW_660,5
10,9,s5_stag_2,NEW_660,5
10,10,s1_acrop_2,NEW_660,5
10,11,s3_brug_4,NEW_660,5
10,12,s1_acrop_1,NEW_660,5
12,1,s3_brug_2,NEW_660,5
12,2,s3_card_1,NEW_660,5
12,3,s3_brug_3,NEW_660,4
12,4,s3_stag_2,NEW_660,5
12,5,s3_ten_1,NEW_660,5
12,6,s3_pdam_1,NEW_660,5
12,7,s3_pdam_3,NEW_660,5
12,8,s3_pdam_2,NEW_660,5
12,9,s3_ten_3,NEW_660,5
12,10,s1b_lobo_1,NEW_660,5
12,11,s2_prus_2,NEW_660,3
12,12,s3_pcyl_4,NEW_660,5
12,13,s6_pdam_2,NEW_660,5
12,14,s2_prus_3,NEW_660,5
12,15,s3_pcyl_3,NEW_660,5
12,16,s3_pcyl_2,NEW_660,5
12,17,s2_goni_1,NEW_660,5
12,18,s3_card_2,NEW_660,5
12,19,s3_hya_3,NEW_660,5
12,20,s2_pcyl_3,NEW_660,5
12,21,s2_ten_2,NEW_660,5
12,22,s2_pdam_1,NEW_660,5
12,23,s2_pdam_3,NEW_660,5
12,24,s2_stag_2,NEW_660,5
12,25,s2_brug_1,NEW_660,5
12,26,s2_pdam_2,NEW_660,5
12,27,s1b_lobo_3,NEW_660,5
13,1,s2_brug_3,NEW_660,5
13,2,s2_hya_4,NEW_660,5
13,3,s2_hya_2,NEW_660,5
13,4,s1b_lobo_5,NEW_660,5
13,5,s1_poc_3,NEW_660,5
13,6,s1_goni_1,NEW_660,2.5
13,7,s6_goni_1,NEW_660,5
13,8,s6_goni_2,NEW_660,5
13,9,s2_pver_1,NEW_660,5
13,10,s1_goni_3,NEW_660,5
13,11,s2_hya_1,NEW_660,5
13,12,s6_goni_3,NEW_660,5
13,13,s6_hya_2,NEW_660,5
13,14,s6_hya_4,NEW_660,5
13,15,s1_goni_2,NEW_660,5
13,16,s1b_brug_1,NEW_660,5
13,17,s6_hya_1,NEW_660,5
13,18,s6_hum_2,NEW_660,5
13,19,s4a_goni_2,NEW_660,4
13,20,s6_hya_3,NEW_660,5
13,21,s1_pcyl_5,NEW_660,5
13,22,s1b_goni_1,NEW_660,5
13,23,s1b_lobo_4,NEW_660,5
13,24,s1_pcyl_2,NEW_660,5
13,25,s6_pdam_1,NEW_660,5
13,26,s1b_pdam_1,NEW_660,5
13,27,s6_hum_1,NEW_660,5
14,1,s1_brug_1,NEW_660,5
14,2,s1b_goni_2,NEW_660,5
14,3,s5_prus_4,NEW_660,5
14,4,s1_prus_1,NEW_660,5
14,5,s1_prus_2,NEW_660,5
14,6,s5_prus_3,NEW_660,5
14,7,s3_prus_1,NEW_660,5
14,8,s4a_pdam_4,NEW_660,5
14,9,s4a_pcyl_3,NEW_660,5
14,10,s4b_prus_4,NEW_660,5
14,11,s3_prus_3,NEW_660,5
14,12,s4b_prus_1,NEW_660,5
14,13,s4a_brug_3,NEW_660,5
14,14,s4b_card_2,NEW_660,5
14,15,s4a_anac_2,NEW_660,5
14,16,s4a_card_2,NEW_660,5
14,17,s4a_pdam_2,NEW_660,5
14,18,s2_prus_1,NEW_660,4
14,19,s2_stag_3,NEW_660,5
14,20,s2_hya_3,NEW_660,5
14,21,s4a_brug_1,NEW_660,5
14,22,s3_stag_1,NEW_660,5
14,23,s3_ten_4,NEW_660,5
14,24,s3_card_4,NEW_660,5
14,25,s3_pcyl_1,NEW_660,5
14,26,s3_brug_1,NEW_660,5
14,27,s3_ten_2,NEW_660,5
15,1,s4a_prus_3,NEW_660,5
15,2,s3_stag_3,NEW_660,5
15,3,s3_card_3,NEW_660,5
15,4,s2_brug_2,NEW_660,5
15,5,s2_pver_2,NEW_660,5
15,6,s4b_prus_3,NEW_660,5
15,7,s1_prus_3,NEW_660,5
15,8,s1_prus_5,NEW_660,5
15,9,s4b_goni_2,NEW_660,5
15,10,s4a_pdam_1,NEW_660,5
15,11,s7_prus_1,NEW_660,5
15,12,s2_stag_1,NEW_660,5
15,13,s2_ten_3,NEW_660,5
15,14,s2_stag_4,NEW_660,5
15,15,s3_hya_2,NEW_660,5
15,16,s5_prus_1,NEW_660,5
15,17,s4a_card_1,NEW_660,5
15,18,s2_card_1,NEW_660,5
15,19,s7_prus_1,NEW_660,5
15,20,s4a_anac_1,NEW_660,5
15,21,s4a_pcyl_2,NEW_660,5
15,22,s4b_pcyl_4,NEW_660,5
15,23,s4b_lobo_2,NEW_660,5
15,24,s4a_card_3,NEW_660,5
15,25,s4b_card_1,NEW_660,5
15,26,s4b_lobo_1,NEW_660,5
15,27,s2_ten_1,NEW_660,5
16,1,s4b_goni_1,NEW_660,5
16,2,s4a_pcyl_1,NEW_660,4
16,3,s4a_pdam_3,NEW_660,5
16,7,s4a_goni_1,NEW_660,5
16,8,s4b_pcyl_1,NEW_660,5
16,9,s4b_pcyl_2,NEW_660,5
16,10,s4b_pcyl_3,NEW_660,5
16,11,s4a_brug_2,NEW_660,5